day,temperature
2022-01-01,16.850000000000023
2022-01-02,16.850000000000023
2022-01-03,16.850000000000023
2022-01-04,16.850000000000023
2022-01-05,16.850000000000023
2022-01-06,16.850000000000023
2022-01-07,16.850000000000023
2022-01-08,16.850000000000023
2022-01-09,16.850000000000023
2022-01-10,16.850000000000023
2022-01-11,16.850000000000023
2022-01-12,16.850000000000023
2022-01-13,16.850000000000023
2022-01-14,16.850000000000023
2022-01-15,16.850000000000023
2022-01-16,16.850000000000023
2022-01-17,16.850000000000023
2022-01-18,16.850000000000023
2022-01-19,16.850000000000023
2022-01-20,16.850000000000023
2022-01-21,16.850000000000023
2022-01-22,16.850000000000023
2022-01-23,16.850000000000023
2022-01-24,16.850000000000023
2022-01-25,16.850000000000023
2022-01-26,16.850000000000023
2022-01-27,16.850000000000023
2022-01-28,16.850000000000023
2022-01-29,16.850000000000023
2022-01-30,16.850000000000023
2022-01-31,16.850000000000023
2022-02-01,16.850000000000023
2022-02-02,16.850000000000023
2022-02-03,16.850000000000023
2022-02-04,16.850000000000023
2022-02-05,16.850000000000023
2022-02-06,16.850000000000023
2022-02-07,16.850000000000023
2022-02-08,16.850000000000023
2022-02-09,16.850000000000023
2022-02-10,16.850000000000023
2022-02-11,16.850000000000023
2022-02-12,16.850000000000023
2022-02-13,16.850000000000023
2022-02-14,16.850000000000023
2022-02-15,16.850000000000023
2022-02-16,16.850000000000023
2022-02-17,16.850000000000023
2022-02-18,16.850000000000023
2022-02-19,16.850000000000023
2022-02-20,16.850000000000023
2022-02-21,16.850000000000023
2022-02-22,16.850000000000023
2022-02-23,16.850000000000023
2022-02-24,16.850000000000023
2022-02-25,16.850000000000023
2022-02-26,16.850000000000023
2022-02-27,16.850000000000023
2022-02-28,16.850000000000023
2022-03-01,16.850000000000023
2022-03-02,16.850000000000023
2022-03-03,16.850000000000023
2022-03-04,16.850000000000023
2022-03-05,16.850000000000023
2022-03-06,16.850000000000023
2022-03-07,16.850000000000023
2022-03-08,16.850000000000023
2022-03-09,16.850000000000023
2022-03-10,16.850000000000023
2022-03-11,16.850000000000023
2022-03-12,16.850000000000023
2022-03-13,16.850000000000023
2022-03-14,16.850000000000023
2022-03-15,16.850000000000023
2022-03-16,16.850000000000023
2022-03-17,16.850000000000023
2022-03-18,16.850000000000023
2022-03-19,16.850000000000023
2022-03-20,16.850000000000023
2022-03-21,16.850000000000023
2022-03-22,16.850000000000023
2022-03-23,16.850000000000023
2022-03-24,16.850000000000023
2022-03-25,16.850000000000023
2022-03-26,16.850000000000023
2022-03-27,16.850000000000023
2022-03-28,16.850000000000023
2022-03-29,16.850000000000023
2022-03-30,16.850000000000023
2022-03-31,16.850000000000023
2022-04-01,16.850000000000023
2022-04-02,16.850000000000023
2022-04-03,16.850000000000023
2022-04-04,16.850000000000023
2022-04-05,16.850000000000023
2022-04-06,16.850000000000023
2022-04-07,16.850000000000023
2022-04-08,16.850000000000023
2022-04-09,16.850000000000023
2022-04-10,16.850000000000023
2022-04-11,16.850000000000023
2022-04-12,16.850000000000023
2022-04-13,16.850000000000023
2022-04-14,16.850000000000023
2022-04-15,16.850000000000023
2022-04-16,16.850000000000023
2022-04-17,16.850000000000023
2022-04-18,16.850000000000023
2022-04-19,16.850000000000023
2022-04-20,16.850000000000023
2022-04-21,16.850000000000023
2022-04-22,16.850000000000023
2022-04-23,16.850000000000023
2022-04-24,16.850000000000023
2022-04-25,16.850000000000023
2022-04-26,16.850000000000023
2022-04-27,16.850000000000023
2022-04-28,16.850000000000023
2022-04-29,16.850000000000023
2022-04-30,16.850000000000023
2022-05-01,16.850000000000023
2022-05-02,16.850000000000023
2022-05-03,16.850000000000023
2022-05-04,16.850000000000023
2022-05-05,16.850000000000023
2022-05-06,16.850000000000023
2022-05-07,16.850000000000023
2022-05-08,16.850000000000023
2022-05-09,16.850000000000023
2022-05-10,16.850000000000023
2022-05-11,16.850000000000023
2022-05-12,16.850000000000023
